degree,r-squared,parameters
0,-0.0558871877940077,[3.37406705]
1,-0.02074907714666785,[3.02260569 0.16545594]
2,0.7995693281429461,[ 0.21696173  8.86815192 -4.3895299 ]
3,0.7824141492678421,[ 0.71826057  5.08899047  0.57210825 -1.66773177]
4,0.7250069727163484,[ 0.75793181  4.95740009  0.9943626  -2.12432432  0.21132936]
5,0.7793730524290408,[ 0.56074116  5.13649729  1.29481572 -1.0697962  -1.93403349  0.78002278]
6,-1.1274667665131517,"[ 0.57087764  4.84683318  1.73463899 -0.39900464 -1.41971893 -1.39403875
  0.96913059]"
7,-25.796154673978414,"[ 0.61517627  4.48472546  1.96069611  0.13896633 -0.93501254 -1.65477374
 -0.70265231  0.97945547]"
8,-206.77943932341458,"[ 0.65709086  4.10960064  1.98790779  0.74299645 -1.04199826 -1.00230748
 -1.26359732 -0.73226166  1.12484912]"
9,-4230.534838419297,"[ 0.59679896  4.47641333  1.43259542  0.71339988 -0.16043514 -1.1602598
 -0.87269549 -0.72865233 -0.23860368  1.17973033]"
10,-36062.345037466526,"[ 0.63373403  3.9993056   2.15622078  0.489536   -0.25804068 -0.5246445
 -0.86572082 -0.85406077 -0.82100127 -0.10440851  1.50541933]"
